"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_NAC_FENT_INPUT"	"P.Value_NAC_SAL_INPUT"	"P.Value_PFC_FENT_INPUT"	"P.Value_PFC_SAL_INPUT"	"P.Value_INPUT_F_FENT"	"P.Value_INPUT_M_FENT"	"P.Value_INPUT_FENT"	"logFC_NAC_FENT_INPUT"	"logFC_NAC_SAL_INPUT"	"logFC_PFC_FENT_INPUT"	"logFC_PFC_SAL_INPUT"	"logFC_INPUT_F_FENT"	"logFC_INPUT_M_FENT"	"logFC_INPUT_FENT"
"ENSMUSG00000000001"	"Gnai3"	"protein_coding"	"G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773]"	0.0140404125426581	0.000411920787495323	0.718658616714901	0.356833532349061	0.654079689755424	0.837144550814661	0.863646905458645	0.176659906619856	0.289647462147173	0.0260442615076308	-0.0700151199648298	-0.0444593587418067	0.0203801383343696	-0.0120396102037186
"ENSMUSG00000000028"	"Cdc45"	"protein_coding"	"cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"	0.00116331932228383	1.25309567217938e-05	0.000507776300101922	1.71566989533008e-06	0.862793444270271	0.691332259692434	0.687034354433122	-0.786774247201623	-1.21810014503563	-0.873991442502322	-1.32213489023312	0.0565963073715485	0.130098741803195	0.0933475245873719
"ENSMUSG00000000049"	"Apoh"	"protein_coding"	"apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]"	2.76496221826744e-27	2.11976141224431e-24	3.30255412777901e-26	3.95543043112689e-25	0.661018910867505	0.293201470257182	0.292742999318501	-5.3411927635509	-5.19177898592902	-5.24485742824487	-5.23171607437641	-0.172703814308719	-0.415582863188154	-0.294143338748436
"ENSMUSG00000000056"	"Narf"	"protein_coding"	"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"	1.03818751719443e-14	1.51198269824618e-13	8.74767143672323e-15	3.36532381933151e-11	0.981164643720041	0.689864978910078	0.764990605195124	0.656394204211291	0.677270952231845	0.679626293251482	0.562852638203056	0.00215483567698715	0.036445668354121	0.0193002520155541
"ENSMUSG00000000058"	"Cav2"	"protein_coding"	"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"	0.00144691892775289	9.51583298802561e-05	0.00192912241972364	6.49444010331491e-06	0.204668070754744	0.895674291144137	0.321395547020542	-0.320733359527526	-0.445496286693019	-0.32112663822075	-0.513019450564633	-0.174121103396492	-0.0178802772764213	-0.0960006903364565
"ENSMUSG00000000078"	"Klf6"	"protein_coding"	"Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"	6.42587228466884e-06	0.0319959369555349	0.156677090130461	0.072570396863478	0.997015867457624	0.899730871036759	0.931104712651151	0.505435465531151	0.248599801138176	0.150975110333889	0.201600032392649	-0.000542346031173757	0.0182726549513967	0.00886515446011149
"ENSMUSG00000000085"	"Scmh1"	"protein_coding"	"sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]"	1.32505606926824e-06	0.000104557968784455	0.0217977841052371	0.884113554327544	0.471221573875819	0.724430878665662	0.448357340560234	0.42561846617782	0.36478000043434	0.19216470855425	0.012512716723152	-0.0811538662799025	-0.0396430105801429	-0.0603984384300227
"ENSMUSG00000000088"	"Cox5a"	"protein_coding"	"cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]"	1.57294801403555e-09	6.39606229863553e-08	0.0804013233953049	0.0921294512400308	0.433067155474658	0.507049567796244	0.931638672738739	-0.559780098582368	-0.537750390302442	-0.14399993296125	-0.14522602557948	0.0876731333625234	-0.0741406238093294	0.00676625477659698
"ENSMUSG00000000094"	"Tbx4"	"protein_coding"	"T-box 4 [Source:MGI Symbol;Acc:MGI:102556]"	7.14059766612065e-09	1.00133670780097e-06	2.50647892952196e-09	1.19039252627774e-08	0.235581428089879	0.967517418694616	0.416421802569284	-1.64860677226468	-1.47871524769799	-1.76687219984857	-1.74606461116626	0.414468322222787	-0.0141453958200749	0.200161463201356
"ENSMUSG00000000120"	"Ngfr"	"protein_coding"	"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]"	0.071590939221714	0.734987273363586	0.863486061099264	0.170751225913587	0.114669842284865	0.17163660064825	0.0390284945252265	-0.312839045099717	-0.0643019005380745	-0.0303558314944934	0.255406737355132	0.386128243136056	0.3337040517658	0.359916147450928
