Module	Hex Color	Color Name
ME0	#EDEDED	gray93
ME1	#B4EEB4	darkseagreen2
ME2	#FAEBD7	antiquewhite
ME3	#7FFFD4	aquamarine
ME4	#6495ED	cornflowerblue
ME5	#FFA500	orange
ME6	#DAA520	goldenrod
ME7	#00CD00	green3
ME8	#0000FF	blue
ME9	#E066FF	mediumorchid1
ME10	#A52A2A	brown
ME11	#DEB887	burlywood
ME12	#5F9EA0	cadetblue
ME13	#7FFF00	chartreuse
ME14	#E0EEEE	azure2
ME15	#FF7F50	coral
ME16	#D2691E	chocolate
ME17	#FFF8DC	cornsilk
ME18	#CD9B9B	rosybrown3
ME19	#B03060	maroon
ME20	#EE2C2C	firebrick2
ME21	#8B0000	darkred
ME22	#B8860B	darkgoldenrod
ME23	#006400	darkgreen
ME24	#FFBBFF	plum1
ME25	#8B008B	darkmagenta
ME26	#ADFF2F	greenyellow
ME27	#FF8C00	darkorange
ME28	#9932CC	darkorchid
ME29	#008B8B	darkcyan
ME30	#E9967A	darksalmon
ME31	#8FBC8F	darkseagreen
ME32	#483D8B	darkslateblue
ME33	#2F4F4F	darkslategray
ME34	#FF1493	deeppink
ME35	#F0FFF0	honeydew
ME36	#9400D3	darkviolet
ME37	#B22222	firebrick
ME38	#556B2F	darkolivegreen
ME39	#8A2BE2	blueviolet
ME40	#EEA2AD	lightpink2
ME41	#228B22	forestgreen
ME42	#FF00FF	fuchsia
ME43	#836FFF	slateblue1
ME44	#FFA07A	lightsalmon
ME45	#FFD700	gold
ME46	#FFE4C4	bisque
ME47	#008000	green
ME48	#00BFFF	deepskyblue
ME49	#00CED1	darkturquoise
ME50	#FF69B4	hotpink
ME51	#CD5C5C	indianred
ME52	#4B0082	indigo
ME53	#CD661D	chocolate3
ME54	#F0E68C	khaki
ME55	#E6E6FA	lavender
ME56	#FFF0F5	lavenderblush
ME57	#7CFC00	lawngreen
ME58	#FFFACD	lemonchiffon
ME59	#ADD8E6	lightblue
ME60	#F08080	lightcoral
ME61	#E0FFFF	lightcyan
ME62	#FAFAD2	lightgoldenrodyellow
ME63	#90EE90	lightgreen
ME64	#20B2AA	lightseagreen
ME65	#FFB6C1	lightpink
ME66	#87CEFA	lightskyblue
ME67	#778899	lightslategray
ME68	#B0C4DE	lightsteelblue
ME69	#FFFFE0	lightyellow
ME70	#7CCD7C	palegreen3
ME71	#32CD32	limegreen
ME72	#FAF0E6	linen
ME73	#FF00FF	magenta
ME74	#EEE9BF	lemonchiffon2
ME75	#66CDAA	mediumaquamarine
ME76	#CD3278	violetred3
ME77	#BA55D3	mediumorchid
ME78	#9370DB	mediumpurple
ME79	#3CB371	mediumseagreen
ME80	#FFDAB9	peachpuff
ME81	#40E0D0	turquoise
ME82	#00FA9A	mediumspringgreen
ME83	#DC143C	crimson
ME84	#00FFFF	cyan
ME85	#1E90FF	dodgerblue
ME86	#F5DEB3	wheat
ME87	#00FF7F	springgreen
ME88	#8B4513	saddlebrown
ME89	#F5F5DC	beige
ME90	#DDA0DD	plum
ME91	#A9A9A9	darkgray
ME92	#A0522D	sienna
